controller,profile,seed,arrived,unfinished,mean_wait_s,mean_travel_s,mean_timeloss_s,total_co2_kg,mean_queue
rl,offpeak,0,876,4,3.5273972602739727,37.91552511415525,8.610251141552505,72.86678308,0.7152777777777778
rl,offpeak,1,876,4,3.3881278538812785,37.45205479452055,8.377876712328758,72.49047599999989,0.6930555555555555
rl,offpeak,2,876,4,3.3607305936073057,37.788812785388124,8.403105022831047,72.17816669000004,0.6888888888888889
rl,offpeak,3,876,4,3.2659817351598175,37.1324200913242,8.130730593607304,71.93279237,0.6569444444444444
rl,offpeak,4,876,4,3.2933789954337898,37.2648401826484,8.318093607305931,72.46883277999994,0.6597222222222222
rl,rush_ns,0,1509,11,3.34857521537442,38.00662690523526,8.721013916501013,127.11381603999985,1.0527777777777778
rl,rush_ns,1,1512,8,3.4113756613756614,37.92526455026455,8.87807539682538,128.09102525999995,1.073611111111111
rl,rush_ns,2,1511,9,3.557246856386499,38.44473858371939,9.0568630046327,128.30479314000004,1.1597222222222223
rl,rush_ns,3,1512,8,3.4193121693121693,37.78703703703704,8.786666666666665,127.3001210000001,1.1
rl,rush_ns,4,1511,9,3.2620780939774985,37.630046326935805,8.545916611515553,126.17120193999995,1.0486111111111112
rl,variable,0,1215,4,3.5901234567901232,37.9358024691358,8.68627983539095,101.1373029099999,0.9888888888888889
rl,variable,1,1215,4,3.4979423868312756,37.65349794238683,8.552658436213985,100.55091908000013,0.9305555555555556
rl,variable,2,1213,6,3.579554822753504,38.06265457543281,8.69176422093981,100.89994711999996,0.9722222222222222
rl,variable,3,1213,6,3.4336356141797197,37.48557295960428,8.493874690849134,100.51908420000012,0.9347222222222222
rl,variable,4,1215,4,3.448559670781893,37.53004115226337,8.48041975308642,100.34893979000006,0.9416666666666667
